keyword,monthly_volume,difficulty,intent,category,used,notes
"ninja af101 air fryer review",1200,35,commercial,air-fryers,false,strong-commercial — single product review
"cosori air fryer review",2400,45,commercial,air-fryers,false,strong-commercial — single product review
"instant vortex air fryer review",1600,38,commercial,air-fryers,false,strong-commercial — single product review
"philips air fryer review",1900,40,commercial,air-fryers,false,strong-commercial — single product review
"ninja foodi dual basket air fryer review",900,32,commercial,air-fryers,false,strong-commercial — single product review
"power xl air fryer review",800,30,commercial,air-fryers,false,strong-commercial — single product review
"gourmia air fryer review",700,28,commercial,air-fryers,false,strong-commercial — single product review
"chefman air fryer review",600,25,commercial,air-fryers,false,strong-commercial — single product review
"best air fryer under 100",8900,62,commercial,air-fryers,false,roundup; high-competition — Wirecutter and Good Housekeeping dominate; avoid until site has authority
"best air fryer for small kitchen",1800,42,commercial,air-fryers,false,roundup — covers multiple products; not a single-product review
"best air fryer for family of 4",1400,35,commercial,air-fryers,false,roundup — covers multiple products
"best dual basket air fryer",2800,55,commercial,air-fryers,false,roundup; high-competition — major publications rank here
"best large capacity air fryer",2100,52,commercial,air-fryers,false,roundup — covers multiple products
"best air fryer toaster oven combo",3500,58,commercial,air-fryers,false,roundup — covers multiple products
"best air fryer 2026",14000,78,commercial,air-fryers,false,roundup; high-competition — highest volume but dominated by major sites; long-term target only
"cosori vs ninja air fryer",1100,38,commercial,air-fryers,false,comparison-post — requires reviews of both products to exist first
"air fryer vs convection oven",3200,48,informational,air-fryers,false,low-conversion — informational; no direct affiliate angle; use as FAQ content only
"how to clean an air fryer",6500,40,informational,air-fryers,false,low-conversion — informational; use on category page or FAQ; not a standalone review
"is an air fryer worth it",4200,52,informational,air-fryers,false,low-conversion — informational; best used as FAQ content within a review
"air fryer basket vs tray",1300,30,informational,air-fryers,false,low-conversion — informational; use as FAQ content only
"best under bed storage containers",2400,28,commercial,storage,false,roundup — covers multiple products
"best stackable storage bins",1800,32,commercial,storage,false,roundup — covers multiple products
"best storage bins for pantry",1600,35,commercial,storage,false,roundup — covers multiple products
"best garage storage bins",2200,40,commercial,storage,false,roundup — covers multiple products
"best closet storage bins",900,28,commercial,storage,false,roundup — covers multiple products
"best food storage containers",4200,62,commercial,storage,false,roundup; high-competition — Wirecutter and NYT Wirecutter dominate; long-term target only
"best vacuum storage bags",1900,32,commercial,storage,false,roundup — covers multiple products
"best storage ottoman review",1400,38,commercial,storage,false,strong-commercial — single product review
"clear storage bins with lids review",1200,25,commercial,storage,false,strong-commercial — can target a specific brand or a tight roundup of 2–3 products
